variable,importancia
study_hours,0.5640407061056254
gaming_hours,0.33176016463050717
sleep_hours,0.06267874030580137
attendance,0.025910298224579218
reaction_time_ms,0.0041193446619090844
device_usage,0.0034478466565441516
addiction_score,0.003249074133183888
social_activity,0.0031948944146604095
gaming_genre_FPS,0.0005063469007443822
gaming_genre_Casual,0.00035906749358348547
gaming_genre_RPG,0.00033707929898813785
stress_level_Low,0.00028552103278238646
stress_level_Medium,5.774351977024634e-05
stress_level_High,5.3172621320863775e-05
