gender,gaming_genre,stress_level,age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,grades
Male,FPS,Low,Q3,Q4,Q4,Q3,Q4,Q3,Q3,Q1,Q4,Q4
Male,Casual,Medium,Q2,Q1,Q4,Q3,Q1,Q1,Q1,Q4,Q1,Q4
Female,Casual,High,Q4,Q1,Q4,Q1,Q3,Q3,Q1,Q4,Q1,Q4
Female,RPG,Low,Q2,Q4,Q1,Q4,Q2,Q2,Q4,Q1,Q4,Q1
Female,FPS,Low,Q3,Q3,Q3,Q2,Q1,Q1,Q3,Q2,Q3,Q2
Male,RPG,Low,Q1,Q4,Q3,Q4,Q1,Q3,Q4,Q1,Q4,Q2
Female,Casual,Medium,Q3,Q1,Q3,Q3,Q4,Q2,Q1,Q4,Q1,Q4
Female,FPS,Medium,Q4,Q3,Q3,Q2,Q1,Q3,Q4,Q3,Q3,Q2
Female,FPS,Medium,Q2,Q3,Q4,Q4,Q2,Q1,Q3,Q3,Q3,Q3
Male,Casual,Medium,Q2,Q1,Q2,Q4,Q2,Q3,Q1,Q4,Q1,Q3
Female,RPG,Medium,Q4,Q2,Q1,Q4,Q1,Q1,Q1,Q3,Q3,Q2
Female,RPG,Medium,Q4,Q3,Q1,Q2,Q2,Q1,Q3,Q2,Q2,Q1
Male,FPS,Medium,Q1,Q1,Q1,Q3,Q4,Q2,Q1,Q3,Q1,Q2
Female,Casual,Medium,Q3,Q2,Q2,Q3,Q1,Q4,Q2,Q4,Q2,Q3
Male,FPS,Low,Q2,Q3,Q1,Q3,Q1,Q1,Q3,Q2,Q3,Q1
Male,Casual,Medium,Q1,Q2,Q2,Q1,Q3,Q1,Q3,Q2,Q3,Q2
Male,FPS,Low,Q4,Q4,Q3,Q2,Q3,Q1,Q3,Q1,Q4,Q2
Female,Casual,Medium,Q3,Q2,Q4,Q4,Q3,Q2,Q2,Q4,Q3,Q4
Male,FPS,Medium,Q1,Q1,Q4,Q2,Q1,Q2,Q1,Q4,Q1,Q4
