antecedente,consecuente,support,confidence,lift
stress_level=High,sleep_hours=Q1 + study_hours=Q4,0.062047043865225686,0.4939271255060729,7.9605263157894735
sleep_hours=Q1 + study_hours=Q4,stress_level=High,0.062047043865225686,1.0,7.9605263157894735
grades=Q4 + reaction_time_ms=Q4,gaming_hours=Q1 + study_hours=Q4,0.05073108709472346,0.44137168141592925,7.157501596569657
gaming_hours=Q1 + study_hours=Q4,grades=Q4 + reaction_time_ms=Q4,0.05073108709472346,0.8226804123711341,7.157501596569657
gaming_hours=Q1 + grades=Q4,reaction_time_ms=Q4 + study_hours=Q4,0.05073108709472346,0.41823899371069184,6.754516808079243
reaction_time_ms=Q4 + study_hours=Q4,gaming_hours=Q1 + grades=Q4,0.05073108709472346,0.8193018480492813,6.754516808079242
grades=Q1 + reaction_time_ms=Q1,gaming_hours=Q4 + study_hours=Q1,0.050222504767959315,0.38461538461538464,6.328451882845188
gaming_hours=Q4 + study_hours=Q1,grades=Q1 + reaction_time_ms=Q1,0.050222504767959315,0.8263598326359832,6.328451882845188
reaction_time_ms=Q1 + study_hours=Q1,gaming_hours=Q4 + grades=Q1,0.050222504767959315,0.824634655532359,6.016467129649354
gaming_hours=Q4 + grades=Q1,reaction_time_ms=Q1 + study_hours=Q1,0.050222504767959315,0.36641929499072357,6.016467129649354
gaming_hours=Q4 + study_hours=Q1,grades=Q1 + stress_level=Low,0.059885568976478065,0.9853556485355648,5.201222936733031
grades=Q1 + stress_level=Low,gaming_hours=Q4 + study_hours=Q1,0.059885568976478065,0.31610738255033555,5.201222936733031
reaction_time_ms=Q1 + study_hours=Q1,grades=Q1 + stress_level=Low,0.05810553083280356,0.9540709812108559,5.036086085384819
grades=Q1 + stress_level=Low,reaction_time_ms=Q1 + study_hours=Q1,0.05810553083280356,0.30671140939597313,5.036086085384819
addiction_score=Q4 + study_hours=Q1,grades=Q1 + stress_level=Low,0.05632549268912905,0.9486081370449678,5.007250334133337
